ITEM DESCRIPTION,FINISH / COLOR,PART NUMBER,SECTION,APPLICATION,MANUFACTURER,VENDOR,STANDARD / OPTION,option type,QTY,PRICE EACH,PRICE TOTAL
Pro Air System / O2 System,Grey,PAS-1,Assembly (DECK) - OPTION,O2 System for In Deck Livewell (qty 1 - 3 depending on how many option livewells),,TH Marine,OPTION,o2 system,1,$62.47,$62.47
Waste Fill,SS,325,Assembly (DECK) - OPTION,W / Full Toilet,,Midwest Marine,OPTION,plumbed head,1,$89.35,$89.35
Quick Release Bracket - RTA-62,White,1854062,Assembly (DECK) - OPTION,W / Terrova,MinnKota,Johnson Outdoors,OPTION,trolling motor,1,$142.02,$142.02
Quick Release Bracket - MKA-64,Black,1854064,Assembly (DECK) - OPTION,W / Terrova,MinnKota,Johnson Outdoors,OPTION,trolling motor,1,$142.02,$142.02
Quick Release Bracket - RTA-55 Heavy Duty,White,1854055,Assembly (DECK) - OPTION,W / Quest Trolling Motor,MinnKota,Johnson Outdoors,OPTION,trolling motor,1,$246.99,$246.99
Quick Release Bracket - MKA-56 Heavy Duty,Black,1854056,Assembly (DECK) - OPTION,W / Quest Trolling Motor,MinnKota,Johnson Outdoors,OPTION,trolling motor,1,$246.99,$246.99
Quick Release Bracket - Kraken Force,White,010-12832-61,Assembly (DECK) - OPTION,W/ White Kraken Trolling Motor and Quick Disconnect Option,,Garmin,OPTION,trolling motor,1,$162.49,$162.49
Quick Release Bracket - Kraken Force,Black,010-128832-60,Assembly (DECK) - OPTION,W/ White Kraken Trolling Motor and Quick Disconnect Option,,Garmin,OPTION,trolling motor,1,$162.49,$162.49
PowerPux Kit - MinnKota - White - Port,Whie,CMP-KIT-PRT-W,Assembly (DECK) - OPTION,Use for Minkota,Power Pux,Power Pux,OPTION,trolling motor,1,$410.00,$410.00
PowerPux Kit - MinnKota - Black - Port,Black,CMP-KIT-PRT-BLK,Assembly (DECK) - OPTION,Use for Minkota,Power Pux,Power Pux,OPTION,trolling motor,1,$410.00,$410.00
PowerPux Kit - Garmin - White - Port,Whie,CMP-KIT-PRT-W-GF,Assembly (DECK) - OPTION,Use for  Garmin Force ,Power Pux,Power Pux,OPTION,trolling motor,1,$410.00,$410.00
PowerPux Kit - Garmin - Black - Port,Black,CMP-KIT-PRT-BLK-GF,Assembly (DECK) - OPTION,Use for  Garmin Force ,Power Pux,Power Pux,OPTION,trolling motor,1,$410.00,$410.00
PowerPux Kit - Power Pole - White - Port,Whie,CMP-KIT-PRT-W-MOVE,Assembly (DECK) - OPTION,Use for Powerpole,Power Pux,Power Pux,OPTION,trolling motor,1,$410.00,$410.00
PowerPux Kit - Power Pole - Black - Port,Black,CMP-KIT-PRT-BLK-MOVE,Assembly (DECK) - OPTION,Use for Powerpole,Power Pux,Power Pux,OPTION,trolling motor,1,$410.00,$410.00
"Gutter Drain - 1"", SS",SS,316-1,Assembly (LINER),"these are the caps only 
2 in console",,Midwest Marine,STANDARD,,2,$19.88,$39.76
"Gutter Drain - 1"", SS",SS,316-1,Assembly (LINER),"w/ fwd seating
these are the caps only 
2 fwd seating buckets for drians",,Midwest Marine,STANDARD,fwd seat,2,$19.88,$39.76
"Gutter Drain - 1"", SS",SS,316-1,Assembly (LINER),"1 in eache side fishbox (2 total)
not used if extra macerator",,Midwest Marine,STANDARD,,2,$19.88,$39.76
"Gutter Drain - 90*, 1"", SS",SS,316 OPT-1,Assembly (LINER),"these go in the gutter for draiing the water out via a hose
2- 150g fishbox
2-55g fishbox
1 in each side fishbox (2 total)",,Midwest Marine,STANDARD,,6,$33.33,$199.98
"Gutter Drain - 90*, 1"", SS",SS,316 OPT-1,Assembly (LINER),"w/ extra macerator
these go in place of the 316-1 for the side fishboxes",,Midwest Marine,OPTION,extra macerator,2,$33.33,$66.66
"Cooler Drain - 90*, 1"" Drain W / Plug",White,89524,Assembly (LINER),"this is the white plastic cooler drain
goes in fwd fishbox 140g",,Gemlux,STANDARD,,1,$17.17,$17.17
"Cooler Drain - 90*, 1"" Drain W / Plug",White,89524,Assembly (LINER),"this is the white plastic cooler drain
goes in  55g fishbox
NOT USED IF AUX FUEL",,Gemlux,STANDARD,,1,$17.17,$17.17
"Utility Grommet / Rod Grommet - 4""",White,UG-3-FW,Assembly (LINER),"these are rubber grommets that go on the liner pillars for rod holders to go thru
3 on each side of it so  (6 per side total)
port side
color dependent
NOT USED W/ AUX FUEL",TH Marine,William F. Miller,STANDARD,,6,$3.50,$21.00
"Cooler Drain - 90*, 1"" Drain W / Plug",White,89524,Assembly (LINER),Fwd Seating Front tub drain,,Gemlux,option,fwd seat,1,$17.17,$17.17
"Utility Grommet / Rod Grommet - 4""",Black,UG-3-DP,Assembly (LINER),"these are rubber grommets that go on the liner pillars for rod holders to go thru
3 on each side of it so  (6 per side total)
port side
color dependent
NOT USED W/ AUX FUEL",TH Marine,William F. Miller,STANDARD,,6,$3.50,$21.00
"Utility Grommet / Rod Grommet - 4""",White,UG-3-FW,Assembly (LINER),"these are rubber grommets that go on the liner pillars for rod holders to go thru
3 on each side of it so  (6 per side total)
stbd side
color dependent",TH Marine,William F. Miller,STANDARD,,6,$3.50,$21.00
"Utility Grommet / Rod Grommet - 4""",Black,UG-3-DP,Assembly (LINER),"these are rubber grommets that go on the liner pillars for rod holders to go thru
3 on each side of it so  (6 per side total)
stbd side
color dependent",TH Marine,William F. Miller,STANDARD,,6,$3.50,$21.00
Scupper Drain,SS,431-BALL,Assembly (LINER),"these are the drains for the cockpit of the boat
2 for thru hulls going out 
2 going to the sump box",,Midwest Marine,STANDARD,,4,$89.99,$359.96
"Tee - 1"", Barbed",Grey,24099,Assembly (LINER),this tee is for the 55g fishbox gutter drains ,,US Plastics,STANDARD,,1,$3.06,$3.06
Pump Box Door - Port,White,20152-306421,Assembly (LINER),these go in the liner area for pumps,,Teak Isle,STANDARD,,1,$201.26,$201.26
Pump Box Door - Port,Black,20152-317368,Assembly (LINER),these go in the liner area for pumps,,Teak Isle,STANDARD,,1,$241.73,$241.73
Pump Box Door - STBD,White,20152-306422,Assembly (LINER),these go in the liner area for pumps,,Teak Isle,STANDARD,,1,$201.26,$201.26
Pump Box Door - STBD,Black,20152-317369,Assembly (LINER),these go in the liner area for pumps,,Teak Isle,STANDARD,,1,$241.73,$241.73
Magnets,SS,MCHN-40,Assembly (LINER) - OPTION,these are the magnets we glass in for the cushions,,CMS Magnetics,OPTION,fwd seat,17,$4.23,$71.91
"Thru Hull Vent - 3/4""",SS,228,Assembly (LINER) - OPTION,"this is the thru hull to vent the water  tank 
goes in thefront of the stbd pump box",,Midwest Marine,OPTION,fresh water,1,$33.33,$33.33
"Thru Hull - 3/4"" Retractable Hose Reel",SS,99582-DK,Assembly (LINER) - OPTION,"this is the fitting we put in the liner for the hose to go thru
""so this come in this kit
99582-DK""
thru hull goes in assy sprayer in rigg
would like to get thru hull only!
USED WITH RETRACTABLE HOSE REAL",W / Retractable Hose,Glendinning,OPTION,retractable hose reel,1,$114.30,$114.30
"90* Elbow - 3/4"" Hose Barb x 1/2"" NPT ",White,63116,Assembly (LINER) - OPTION,"this is what screws into the water spigot for the hose connection
NOT USED WITH RETRACTABLE HOSE REEL",W / Out Retractable Hose,US Plastics,OPTION,fresh water,1,$1.34,$1.34
"Spigot / Faucet Washdown, SS",SS,270,Assembly (LINER) - OPTION,"this is the water outlet for the freshwater, what the washdown hose goes to
goes in the front of the stbd pump box
NOT USED WITH RETRACTABLE HOSE REEL",W / Out Retractable Hose,Midwest Marine,OPTION,fresh water,1,$63.99,$63.99
"Aluminum Plate - 38"" x 30"" x 12""",SS ,,Assembly (LINER) - OPTION,3,,Dan Kuntz,OPTION,,1,$310.00,$310.00
"Adjustable Fin Safe Live Well Feed NPT, White",White,74006,Assembly (LEANING POST),,,Gemlux,STANDARD,,1,$33.04,$33.04
"Thru Hull Adapter - 90*, 1"" FNPS x 1"" Tube",Black,THA-100-100-90-NPS,Assembly (LEANING POST),W / Livewell Feed,,Gemlux,STANDARD,,1,$6.51,$6.51
Adjustable Livewell Drain W / Plug,White,74601,Assembly (LEANING POST),,,Gemlux,STANDARD,,1,$21.56,$21.56
"Thru Hull Adapter - 90* 1-1/2"" FNPS x 1-1/2"" Tube",Black,THA-150-150-90-NPS,Assembly (LEANING POST),W / Livewell Drain,,Gemlux,STANDARD,,1,$11.57,$11.57
"Thru Hull Fittings - 1-1/2"", 90* White",White,TH-1592-DP,Assembly (LEANING POST),"LP Overflow
go behind livewell baffles",TH Marine,William F. Miller,STANDARD,,2,$10.07,$20.14
Livewell Baffle,White,20152-315094,Assembly (LEANING POST),"LP Baitwell
go over the white fittigs",,Teak Isle,STANDARD,,2,$13.09,$26.18
Open LP Viewing Window,Clear,BBW0078,Assembly (LEANING POST),,,Waterway Systems,STANDARD,,1,$120.00,$120.00
"Livewell Light, Newt - Clear, Blue",Clear,101085,Assembly (LEANING POST),,,Lumitec,STANDARD,,1,$11.81,$11.81
Piranha 1100,White,357-104-00,Assembly (LEANING POST) - OPTION,Recirc,Pentair,CWR,OPTION,recirc,1,$50.92,$50.92
"Thru Hull Adapter - 90*, 1"" FNPS x 1"" Tube",Black,THA-100-100-90-NPS,Assembly (LEANING POST) - OPTION,Recirc,,Gemlux,OPTION,recirc,1,$6.51,$6.51
"Aerator Filter Screen - 3/4""-14 Thread",ss/black,AS-1-DP,Assembly (LEANING POST) - OPTION,Recirc,TH Marine,William F. Miller,OPTION,recirc,1,$6.62,$6.62
"Adjustable Fin Safe Live Well Feed NPT, White",White,74006,Assembly (LEANING POST) - OPTION,Recirc,,Gemlux,OPTION,recirc,1,$33.04,$33.04
Hose Clamp #12,SS,HF12SS,Assembly (LEANING POST) - OPTION,Recirc,,Florida Industrial Supplies,OPTION,recirc,4,$0.97,$3.88
Pro Air System / O2 System,Grey,PAS-1,Assembly (LEANING POST) - OPTION,O2 System,TH Marine,TH Marine,OPTION,o2 system,1,$62.47,$62.47
Data Harness - 20',Black,8M0146745,Assembly (ENGINE) - OPTION,W / Twin 225 OR 250,,Mercury Marine,OPTION,merc,2,$124.14,$248.28
"Harness - Engine Umbilical, V8 (Engine to Rig Center), 25'",Black,8M0153454,Assembly (ENGINE) - OPTION,W / 450,,Mercury Marine,OPTION,merc,1,$150.61,$150.61
Power Harness - 15' Clean Power,Black,8M0150523,Assembly (ENGINE),400 / 450R / 500R,,Mercury Marine,STANDARD,,1,$33.70,$33.70
"Harness - Engine Umbilical, V10 / V12 (Engine to Rig Center), 25'",Black,8M0179757,Assembly (ENGINE),W / 400,,Mercury Marine,STANDARD,,1,$202.82,$202.82
"Power Steering Hose Kit (Bulkhead Fitting to Helm), 16'",Black,8M0167291,Assembly (ENGINE),W / 400 OR 450,,Mercury Marine,STANDARD,,1,$99.67,$99.67
Pump Signal Harness Kit - Gen C,Black,8M0138677,Assembly (ENGINE),W / 400 OR 450,,Mercury Marine,STANDARD,,1,$15.19,$15.19
Power Steering Pump Power Harness - 24',Black,8M0150105,Assembly (ENGINE),W / 400 OR 450,,Mercury Marine,STANDARD,,1,$114.73,$114.73
Power Steering Hose Kit - Pressure & Return - 16' ,Black,8M0150616,Assembly (ENGINE),W / 400 OR 450,,Mercury Marine,STANDARD,,1,$144.87,$144.87
Data Harness - 15',Black,892451T15,Assembly (ENGINE),W / 400 OR 450,,Mercury Marine,STANDARD,,1,$90.64,$90.64
"Harness - Fuel Tank, 120""",Black,898289T75,Assembly (ENGINE),W / 400 OR 450,,Mercury Marine,STANDARD,,1,$12.20,$12.20
WIF arness (Fuel Filter to Rig Center),Black,8M0042697,Assembly (ENGINE),W / 400 OR 450,,Mercury Marine,STANDARD,,1,$30.10,$30.10
FINAL RIGGING,,,,,,,,,,,
"Cupholder W / Drain, SS",SS,LCH-1SS,Final Rigging (CONSOLE) - OPTION,"Front of Console if NOT Cup / Rod
these go forward on the console
we tend to do a lot more cup/rod combos",TH Marine,William F. Miller,STANDARD,,2,6.45,$12.90
"Adapter - 1/8"" FNPT x 3/8"" Hose Barb",Black,3-A1838F,Final Rigging (CONSOLE),these go on the cupholders for the drains,,PVC Fittings,STANDARD,,2,2.54,$5.08
"90* Elbow - 1/2"" Hose Barb x 3/8"" Hose Barb",Black,62125,Final Rigging (CONSOLE) - OPTION,"W / Cupholders in Front of Console - ONLY!
these adapt the hose from the cup holder to the rod holder hoses",*NOT WITH CUP / ROD COMBO,US Plastics,STANDARD,,2,1.01,$2.02
Cup / Rod Combo - 15*,SS,105546,Final Rigging (CONSOLE) - OPTION,"Instead of Cup Holders
we use these in place of cupholders in the front of the console",,Gemlux,OPTION,cup/rod combo,2,119.84,$239.68
"90* Elbow - 1/4"" NPT x 1/2"" Hose Barb",Black,62124,Final Rigging (CONSOLE),these go on the cup/rod combos for the drain hose to connect to the rod holdes,,US Plastics,OPTION,cup/rod combo,2,$0.73,$1.46
Rod Holder - 15* Standard Screwless,SS,105526,Final Rigging (CONSOLE),,,Gemlux,STANDARD,,6,$73.52,$441.12
"Tee - 1/4"" NPT x 1/2"" Hose Barb x 1/2"" Hose Barb",Black,65966,Final Rigging (CONSOLE),these go in each rod holer for the drain tubes,,US Plastics,STANDARD,,6,$0.69,$4.14
"Cupholder W / Drain, SS",SS,LCH-1SS,Final Rigging (CONSOLE),this set goes on the console near the MFD,TH Marine,William F. Miller,STANDARD,,2,$6.45,$12.90
"Adapter - 1/8"" FNPT x 3/8"" Hose Barb",Black,3-A1838F,Final Rigging (CONSOLE),these screw on to the cupholder to attatch a 3/8 hose,,PVC Fittings,STANDARD,,2,$2.54,$5.08
"Tee - 3/8"" Hose Barb x 1/2"" x 1/2"", Barbed",Black,62097,Final Rigging (CONSOLE),these go inline of the rod holder drains and connect the cupholders 3/8 near mfds 3/8 drain tube,,US Plastics,STANDARD,,2,$0.71,$1.42
"90* Elbow - 1/4"" NPT x 1/2"" Hose Barb",Black,62124,Final Rigging (CONSOLE),2 go on the console for the drain outs for the rod holder drain tubes,,US Plastics,STANDARD,,4,$0.73,$2.92
GPSMAP® 8612 XSV,Black,010-02093-51,Final Rigging (CONSOLE),MFD for dash,,Garmin,STANDARD,,1,"$4,269.99","$4,269.99"
GPSMAP® 9222 MFD,Black,010-02674-01,Final Rigging (CONSOLE),MFD for dash,,Garmin,OPTION,mfd,1,"$8,049.99","$8,049.99"
GPSMAP® 9224 MFD,Black,010-02675-01,Final Rigging (CONSOLE),MFD for dash,,Garmin,OPTION,mfd,1,"$9,449.99","$9,449.99"
GPSMAP® 9227 MFD,Black,010-02676-01,Final Rigging (CONSOLE),MFD for dash,,Garmin,OPTION,mfd,1,"$11,899.99","$11,899.99"
"NSO Evo3S 24"" MFD",Black,000-15051-001,Final Rigging (CONSOLE),Simrad MFD for console,Simrad,Navico,OPTION,mfd,1,"$6,424.58","$6,424.58"
MDI Console Switch Panel,Black,500-0006,Final Rigging (CONSOLE),this is the standard swith panel and includes battery gauges,,MDI,STANDARD,,1,"$1,447.68","$1,447.68"
2 Hole Switch Panel,Black,,Final Rigging (CONSOLE),just map and spreader lts,,Waterway Systems,STANDARD,,1,,
"12V Switch - Latching Push Button, LED Red",SS,80-511-0001-01,Final Rigging (CONSOLE),"1 goes for map lights
1 goes for spreader lights",,Marinco,STANDARD,,2,$18.38,$36.75
Pigtail / Cable Assembly,Black,80-511-0031-01,Final Rigging (CONSOLE),"W / 12V Switch
1 per switch always",,Marinco,STANDARD,,2,$5.50,$10.99
3 - Hole Switch Panel,Black,BBW0012,Final Rigging (CONSOLE),"W / MDI Switch Panel
this is used with mdi switch panel and has a light bar,map lights,spreader lights",,Waterway Systems,OPTION,lt bar switch panel,1,$50.00,$50.00
"12V Switch - Latching Push Button, LED Red",SS,80-511-0001-01,Final Rigging (CONSOLE),"W / Lightbar
can be used in 3 hole and 4 hole but always used if yo have a ight bar",,Marinco,OPTION,lt bar switch panel,1,$18.38,$18.38
Pigtail / Cable Assembly,Black,80-511-0031-01,Final Rigging (CONSOLE),"W / 12V Switch W / Lightbar
goes with switch",,Marinco,OPTION,lt bar switch panel,1,$5.50,$5.50
Piano Black GPS Panel - NO Switches,Black,BBW0001,Final Rigging (CONSOLE),"this is a surround for the MFD
still use MDI switch panel and whatever for 2 or 3 hole underneath mdi ",,Strategy Marine,OPTION,mfd panel,1,$350.00,$350.00
LED Light Strip,Black,505018SMD,Final Rigging (CONSOLE),"W / Panel W / Switches
this allows us to light up the switches on the non MDI panel",,Amazon,OPTION,mfd switch panel,2,$3.35,$6.70
Piano Black GPS Panel - W / Switches,Black,BBW0002,Final Rigging (CONSOLE),"this is a surround for the MFD that has built in switches
you will not use MDI switch panel and you will use the 4 holw with this ",,Strategy Marine,OPTION,mfd switch panel,1,$450.00,$450.00
3.3V Switch - Momentary,SS,80-911-0060-00,Final Rigging (CONSOLE),"W / Piano W / Switches
each of these are for c-zone stiches on the non MDI dash",,Marinco,OPTION,mfd switch panel,8,$21.19,$169.55
RJ45 Switch Cable - 6',Black,80-911-0087-01,Final Rigging (CONSOLE),"W / Piano W / 3.3V Switches
specific for the 3.3v switches",,Marinco,OPTION,mfd switch panel,8,$9.81,$78.47
SCI Module,Black,80-911-0011-00,Final Rigging (CONSOLE),"W / Piano W / Switches
used for non MDI dash",,Marinco,OPTION,mfd switch panel,1,$163.55,$163.55
"12V Switch - Momentary Push Button, LED Red",SS,80-511-0002-01,Final Rigging (CONSOLE),"W / Horn
only used for non MDI switch panel",,Marinco,OPTION,mfd switch panel,1,$18.38,$18.38
Pigtail / Cable Assembly,Black,80-511-0031-01,Final Rigging (CONSOLE),"W / 12V Switch W / Horn
for switch",,Marinco,OPTION,mfd switch panel,1,$5.50,$5.50
"12V Switch - Latching Push Button, LED Red",SS,80-511-0001-01,Final Rigging (CONSOLE),used for courtesy lights on dash panel w switches,,Marinco,OPTION,mfd switch panel,1,$18.38,$18.38
Pigtail / Cable Assembly,Black,80-511-0031-01,Final Rigging (CONSOLE),goes with switch,,Marinco,OPTION,mfd switch panel,1,$5.50,$5.50
4 - Hole Switch Panel,Black,BBW0124,Final Rigging (CONSOLE),"W / Piano W / Switches
this panel has battery gauges and gets used if you have the GPS panel with switches
it has lt bar,sprdr lts,map lts, and accy for swithces",,Waterway Systems,OPTION,mfd switch panel,1,$50.00,$50.00
Battery Gauges,Red,811-1062-ND,Final Rigging (CONSOLE),"
this goes with the 4 holse switch panel and allows you to have the standard batteries on display hous,engine and trolling motor.",,DigiKey,OPTION,mfd switch panel,3,$43.89,$131.67
"12V Switch - Latching Push Button, LED Red",SS,80-511-0001-01,Final Rigging (CONSOLE),"W / 4 - Hole Switch Panel
this is for accy as map and spreadr are standard and light bar has a switch",,Marinco,OPTION,mfd switch panel,1,$18.38,$18.38
Pigtail / Cable Assembly,Black,80-511-0031-01,Final Rigging (CONSOLE),"W / 4 - Hole Switch Panel
with switch",,Marinco,OPTION,mfd switch panel,1,$5.50,$5.50
Relase Helm Pod,Wood,,Final Rigging (CONSOLE) - OPTION,this goes on the fornt of the console for the helm and changes alot of things,,Release Marine,OPTION,helm pod,1,"$3,231.20","$3,231.20"
"Steering Wheel - 13"" SS Wheel W / Comfort Grip Knob",SS,1710ST-13-KITG,Final Rigging (CONSOLE),this is the standard steering wheel for the helm,,Edson International,STANDARD,,1,$414.00,$414.00
"Steering Wheel - 12"" Black Wheel W / SS Nut & Comfort Grip Knob",Black,1710BL-13-KIT,Final Rigging (CONSOLE) - OPTION,different color steering wheel,,Edson International,OPTION,steering wheel,1,$437.40,$437.40
"Steering Wheel - 13"" Carbon Fibeer W / Special Ops Comfort Knob",Carbon Fiber,1710C-13C-CGB,Final Rigging (CONSOLE) - OPTION,different color steering wheel,,Edson International,OPTION,steering wheel,1,"$1,395.00","$1,395.00"
UFLEX Paddle Trim - PAIR,Black,PTS-2,Final Rigging (CONSOLE) - OPTION,"Switches that go under the steering wheel allowing you to use the jackplate and the motor trim
 not used with helm pod",,Uflex,OPTION,paddle trim,1,$192.49,$192.49
Paddle Trim - STDERC,Black,8M0165559,Final Rigging (CONSOLE) - OPTION,"W / Paddle Trim
we use this to connect the paddle trim tot he mercury helm
not used with anyother engines
not used with helm pod",,Mercury Marine,OPTION,paddle trim,1,$12.50,$12.50
UFLEX Trim Bezel,SS,,Final Rigging (CONSOLE) - OPTION,used with helm pod and non tilit steering,,UFLEX,OPTION,helm pod,1,,$0.00
Fusion® Apollo MS-ERX400 Wired Remote,Black,010-02244-00,Final Rigging (CONSOLE) - OPTION,this is the remote that goes justabove the grab bar on stbd side of the console,Fusion,Garmin,OPTION,stereo remote,1,$167.99,$167.99
"Grab Handle - 9"" Long W / Stud, SS",SS,+ 357L,Final Rigging (CONSOLE),"this goes on dash on bottom right of console
color depenedent
(we do not use if helm pod)",,Midwest Marine,STANDARD,,1,$33.33,$33.33
"Powder Coat - 9"" Grab Bar",White,+ 357L,Final Rigging (CONSOLE),"this goes on dash on bottom right of console
color depenedent
(we do not use if helm pod)",,GG Schmitt,STANDARD,,1,$10.00,$10.00
"Powder Coat - 9"" Grab Bar",Texture White,,Final Rigging (CONSOLE),"this goes on dash on bottom right of console
color depenedent
(we do not use if helm pod)",,GG Schmitt,STANDARD,,1,$10.00,$10.00
"Powder Coat - 9"" Grab Bar",Black,,Final Rigging (CONSOLE),"this goes on dash on bottom right of console
color depenedent
(we do not use if helm pod)",,GG Schmitt,STANDARD,,1,$10.00,$10.00
"Powder Coat - 9"" Grab Bar",Texture Black,,Final Rigging (CONSOLE),"this goes on dash on bottom right of console
color depenedent
(we do not use if helm pod)",,GG Schmitt,STANDARD,,1,$10.00,$10.00
"Glovebox, Acrylic Face - 12-1/2"" x 6-1/2"" - White",White,20152-311068,Final Rigging (CONSOLE),"this goes just above the foot rest on the stbd side of console
color dependent
(not used if helm pod)",,Teak Isle,STANDARD,,1,$242.76,$242.76
"Glovebox, Acrylic Face - 12-1/2"" x 6-1/2"" - Black",Black,20152-313549,Final Rigging (CONSOLE),"this goes just above the foot rest on the stbd side of console
color dependent
(not used if helm pod)",,Teak Isle,STANDARD,,1,$242.76,$242.76
"Dual USB Charger & 12V Receptable, SeaLink",Black,12VCOMBO-B,Final Rigging (CONSOLE),"goes in the glove box
(not used if helm pod)",,Marinco,STANDARD,,1,$11.77,$11.77
HDMI Port,Black,,Final Rigging (CONSOLE) - OPTION,this has gone in the glovebox for phone usage,Penglin,Amazon,OPTION,hdmi,1,$15.99,$15.99
HDMI Cable,Black,010-12390-20,Final Rigging (CONSOLE) - OPTION,"W / HDMI Port
the cable to hook up the hdmi",,Garmin,OPTION,hdmi,1,$55.24,$55.24
Horn,White,540-0100-7,Final Rigging (CONSOLE),"goes on the front port side of console
color depndent",Innovative Lighting,Amazon,STANDARD,,1,$21.08,$21.08
Horn,Black,540-0000-7,Final Rigging (CONSOLE),"goes on the front port side of console
color depndent",Innovative Lighting,Amazon,STANDARD,,1,$31.18,$31.18
"Grab Handle - 6"" NO Stud, SS",SS,+357F,Final Rigging (CONSOLE),"this goes on the back side of the console door
color dependent",,Midwest Marine,STANDARD,,1,$29.60,$29.60
"Powder Coat - 6"" Grab Bar, NO Stud",White,GP00010WHT,Final Rigging (CONSOLE),"this goes on the back side of the console door
color dependent",,GG Schmitt,STANDARD,,1,$10.00,$10.00
"Powder Coat - 6"" Grab Bar, NO Stud",Texture White,GP00010TWHT,Final Rigging (CONSOLE),"this goes on the back side of the console door
color dependent",,GG Schmitt,STANDARD,,1,$10.00,$10.00
"Powder Coat - 6"" Grab Bar, NO Stud",Black,GP00010BLK,Final Rigging (CONSOLE),"this goes on the back side of the console door
color dependent",,GG Schmitt,STANDARD,,1,$10.00,$10.00
"Powder Coat - 6"" Grab Bar, NO Stud",Texture Black,GP00010TBLK,Final Rigging (CONSOLE),"this goes on the back side of the console door
color dependent",,GG Schmitt,STANDARD,,1,$10.00,$10.00
"Grab Handle - 12"" Long, W / Stud, SS",SS,357-12,Final Rigging (CONSOLE),"these go on either side of the console door
color dependent",,Midwest Marine,STANDARD,,2,$33.33,$66.66
"Powder Coat - 12"" Grab Bar",White,GP00007WHT,Final Rigging (CONSOLE),"these go on either side of the console door
color dependent",,GG Schmitt,STANDARD,,1,$10.00,$10.00
"Powder Coat - 12"" Grab Bar",Texture White,GP00007TWHT,Final Rigging (CONSOLE),"these go on either side of the console door
color dependent",,GG Schmitt,STANDARD,,1,$10.00,$10.00
"Powder Coat - 12"" Grab Bar",Black,GP00007BLK,Final Rigging (CONSOLE),"these go on either side of the console door
color dependent",,GG Schmitt,STANDARD,,1,$10.00,$10.00
"Powder Coat - 12"" Grab Bar",Texture Black,GP00007TBLK,Final Rigging (CONSOLE),"these go on either side of the console door
color dependent",,GG Schmitt,STANDARD,,1,$10.00,$10.00
Tall windscreen ,Clear,,Final Rigging (CONSOLE),"this is used for a t-top only 
color option",,Waterway Systems,STANDARD,,1,,$0.00
Tall windscreen ,Tinted,,Final Rigging (CONSOLE),"this is used for a t-top only 
color option",,Waterway Systems,STANDARD,,1,,$0.00
T-Tower Wind Screen,Clear,BBW0076W,Final Rigging (CONSOLE) - OPTION,this goes on the top of the console for t-toweres with half station platform,,Waterway Systems,OPTION,t tower wind screen,1,$200.00,$200.00
T-Tower Wind Screen,Tinted,BBW0076B,Final Rigging (CONSOLE) - OPTION,this goes on the top of the console for t-toweres with half station platform,,Waterway Systems,OPTION,t tower wind screen,1,$200.00,$200.00
Upholstery - OPEN / BAY Console Set,Boat Specific,9780100,Final Rigging (CONSOLE),"the cushions for the console door
the round pipe has no issues with the thicker console backrest",,PPI,STANDARD,,1,$617.00,$617.00
Upholstery - OPEN / BAY Console Set *D-PIPE,Boat Specific,9782800,Final Rigging (CONSOLE) - OPTION,this set has a thinner console backrest because the bar on the dpipe makes contact and you cant open the door very much,,PPI,OPTION,d pipe upholtrey,1,"$1,235.00","$1,235.00"
MDI Console Harness,Black,500-0001,Final Rigging (CONSOLE),This is the main harness in the console,,MDI,STANDARD,,1,$702.84,$702.84
"Fuse Block - 12 - Circuit, ATC, W / Neg Bus + Cover",Black,5026B-BSS,Final Rigging (CONSOLE),these are for all the circuits we add to the boat,Blue Seas,Marinco,STANDARD,,2,$27.94,$55.88
NMEA 2000® Power Cable,Yellow,010-11079-00,Final Rigging (CONSOLE),1 for the c-zone side,,Garmin,STANDARD,,1,$19.49,$19.49
NMEA 2000® Power Isolator,Yellow,010-11580-00,Final Rigging (CONSOLE),this isolates power between the c-zone and house sides,,Garmin,STANDARD,,1,$14.99,$14.99
NMEA 2000® Backbone / Drop Cable - 2M / 6',b,010-11076-00,Final Rigging (CONSOLE),"2 for the OI modules-outputs
1 for the SCI module-switches
1 for the mercury connect",,Garmin,STANDARD,,4,$22.74,$90.96
NMEA 2000® Backbone / Drop Cable - 6M / 19',Black,010-11076-01,Final Rigging (CONSOLE),for the gps24x antenna-only if garmin,,Garmin,STANDARD,,1,$25.99,$25.99
RGB LED Light Controller,White,LED-RGBCONT-1-DP,Final Rigging (CONSOLE),for the under gunnel lights,TH Marine,William F. Miller,STANDARD,,1,$51.87,$51.87
Gateway - BlueNet 30,Black,010-02613-00,Final Rigging (CONSOLE),"this is for the gsd25 untill it becomes bluenet
we also use this to go to an upper screen",,Garmin,STANDARD,,1,$227.49,$227.49
Fusion® Apollo MS-WB675 Marine Hideaway,White,010-02346-50,Final Rigging (CONSOLE),this is the stereo that goes inside the console,,Garmin,STANDARD,,1,$329.99,$329.99
Stealth Antenna - MS-SA 1.8,Black,010-12584-00,Final Rigging (CONSOLE),"Stereo
allows you to recive am/fm when plugged into the stereo",Fusion,Garmin,STANDARD,,1,$5.49,$5.49
